class,f1,precision,recall,threshold
0,0.7311178247734139,0.7188118811881188,0.7438524590163934,0.5
1,0.798219584569733,0.7250673854447439,0.8877887788778878,0.4
2,0.5118483412322274,0.47577092511013214,0.5538461538461539,0.5
3,0.38243626062322944,0.3349875930521092,0.44554455445544555,0.4
4,0.39396984924623113,0.3277591973244147,0.49370277078085645,0.35
5,0.5317220543806647,0.4943820224719101,0.5751633986928104,0.4
6,0.4573002754820937,0.3933649289099526,0.5460526315789473,0.4
7,0.5684523809523809,0.45047169811320753,0.7701612903225806,0.45000000000000007
8,0.5222929936305732,0.5125,0.5324675324675324,0.5
9,0.2953020134228188,0.32592592592592595,0.26993865030674846,0.4
10,0.4298136645962733,0.33723196881091616,0.5924657534246576,0.35
11,0.44534412955465585,0.36666666666666664,0.5670103092783505,0.4
12,0.5671641791044776,0.59375,0.5428571428571428,0.7000000000000001
13,0.345679012345679,0.42424242424242425,0.2916666666666667,0.5
14,0.655367231638418,0.6666666666666666,0.6444444444444445,0.5
15,0.9106628242074928,0.9404761904761905,0.88268156424581,0.55
16,0.4444444444444444,0.42857142857142855,0.46153846153846156,0.55
17,0.5722543352601156,0.5689655172413793,0.5755813953488372,0.35
18,0.7843866171003717,0.7377622377622378,0.8373015873015873,0.5
19,0.36363636363636365,0.34782608695652173,0.38095238095238093,0.4
20,0.6142506142506142,0.6313131313131313,0.5980861244019139,0.45000000000000007
21,0.6153846153846154,0.7272727272727273,0.5333333333333333,0.4
22,0.2918918918918919,0.46551724137931033,0.2125984251968504,0.45000000000000007
23,0.3,0.2727272727272727,0.3333333333333333,0.5
24,0.7547169811320755,0.6593406593406593,0.8823529411764706,0.45000000000000007
25,0.535031847133758,0.49122807017543857,0.5874125874125874,0.45000000000000007
26,0.550185873605948,0.5285714285714286,0.5736434108527132,0.5
27,0.6880407124681934,0.6247689463955638,0.7655719139297849,0.35
