class,f1,precision,recall,threshold
0,0.7195767195767195,0.7439824945295405,0.6967213114754098,0.65
1,0.8012048192771084,0.7368421052631579,0.8778877887788779,0.25
2,0.5,0.4788732394366197,0.5230769230769231,0.45000000000000007
3,0.3810483870967742,0.274310595065312,0.6237623762376238,0.15000000000000002
4,0.38255977496483823,0.43312101910828027,0.3425692695214106,0.30000000000000004
5,0.4668304668304668,0.37401574803149606,0.6209150326797386,0.25
6,0.44321329639889195,0.3827751196172249,0.5263157894736842,0.30000000000000004
7,0.5553719008264463,0.47058823529411764,0.6774193548387096,0.4
8,0.5512820512820513,0.5443037974683544,0.5584415584415584,0.45000000000000007
9,0.3,0.23826714801444043,0.4049079754601227,0.2
10,0.43564356435643564,0.3710843373493976,0.5273972602739726,0.2
11,0.44635193133047213,0.38235294117647056,0.5360824742268041,0.35
12,0.5507246376811594,0.5588235294117647,0.5428571428571428,0.55
13,0.3655913978494624,0.37777777777777777,0.3541666666666667,0.35
14,0.6839378238341969,0.6407766990291263,0.7333333333333333,0.30000000000000004
15,0.9172714078374455,0.9546827794561934,0.88268156424581,0.55
16,0.4375,0.3684210526315789,0.5384615384615384,0.25
17,0.5654761904761905,0.5792682926829268,0.5523255813953488,0.35
18,0.775438596491228,0.6949685534591195,0.876984126984127,0.25
19,0.4090909090909091,0.391304347826087,0.42857142857142855,0.55
20,0.6191646191646192,0.6363636363636364,0.6028708133971292,0.30000000000000004
21,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.65
22,0.24778761061946902,0.2828282828282828,0.2204724409448819,0.30000000000000004
23,0.36363636363636365,0.2702702702702703,0.5555555555555556,0.30000000000000004
24,0.7421383647798742,0.6483516483516484,0.8676470588235294,0.2
25,0.525,0.4745762711864407,0.5874125874125874,0.35
26,0.5584905660377358,0.5441176470588235,0.5736434108527132,0.6
27,0.6786165109820752,0.6123006833712984,0.7610419026047565,0.1
